periodo,estu_tipodocumento,estu_consecutivo,cole_area_ubicacion,cole_bilingue,cole_calendario,cole_caracter,cole_cod_dane_establecimiento,cole_cod_dane_sede,cole_cod_depto_ubicacion,cole_cod_mcpio_ubicacion,cole_codigo_icfes,cole_depto_ubicacion,cole_genero,cole_jornada,cole_mcpio_ubicacion,cole_naturaleza,cole_nombre_establecimiento,cole_nombre_sede,cole_sede_principal,estu_cod_depto_presentacion,estu_cod_mcpio_presentacion,estu_cod_reside_depto,estu_cod_reside_mcpio,estu_depto_presentacion,estu_depto_reside,estu_estadoinvestigacion,estu_estudiante,estu_fechanacimiento,estu_genero,estu_mcpio_presentacion,estu_mcpio_reside,estu_nacionalidad,estu_pais_reside,estu_privado_libertad,fami_cuartoshogar,fami_educacionmadre,fami_educacionpadre,fami_estratovivienda,fami_personashogar,fami_tieneautomovil,fami_tienecomputador,fami_tieneinternet,fami_tienelavadora,desemp_ingles,punt_ingles,punt_matematicas,punt_sociales_ciudadanas,punt_c_naturales,punt_lectura_critica,punt_global,semestre_prueba
20181,TI,SB11201810055532,URBANO,No,A,NO APLICA,308001074819,308001074819,8,8001,71167,ATLANTICO,MIXTO,SABATINA,BARRANQUILLA,NO OFICIAL,BACHILLERATO TEC AUTODIRIGIDO,BACHILLERATO TEC AUTODIRIGIDO - SEDE PRINCIPAL,Si,8.0,8001.0,8.0,8001.0,ATLANTICO,ATLANTICO,PUBLICAR,ESTUDIANTE,2000-03-20,F,BARRANQUILLA,BARRANQUILLA,COLOMBIA,COLOMBIA,No,TRES,EDUCACION PROFESIONAL INCOMPLETA,TECNICA O TECNOLOGICA INCOMPLETA,ESTRATO 3,3 A 4,No,Si,Si,Si,A-,39.0,33.0,39,38,43,192,1
20181,CC,SB11201810028085,URBANO,No,OTRO,ACADEMICO,305001017361,305001017361,5,5001,662114,ANTIOQUIA,MIXTO,SABATINA,MEDELLIN,NO OFICIAL,CENT DE DESARROLLO INTEGRADO - CENDI,CENT DE DESARROLLO INTEGRADO - CENDI,Si,5.0,5001.0,5.0,5001.0,ANTIOQUIA,ANTIOQUIA,PUBLICAR,ESTUDIANTE,1977-12-10,M,MEDELLIN,MEDELLIN,COLOMBIA,COLOMBIA,No,DOS,NAN,NAN,NAN,3 A 4,No,No,Desconocido,Si,A-,25.0,45.0,48,45,42,217,1
20181,TI,SB11201810027680,URBANO,Si,B,ACADEMICO,311001019941,311001019941,11,11001,19448,BOGOTA,MIXTO,COMPLETA,BOGOTA D.C.,NO OFICIAL,COLEGIO NUEVA GRANADA,COL NUEVA GRANADA,Si,11.0,11001.0,11.0,11001.0,BOGOTA,BOGOTA,PUBLICAR,ESTUDIANTE,2000-02-17,M,BOGOTA D.C.,BOGOTA D.C.,COLOMBIA,COLOMBIA,No,CUATRO,EDUCACION PROFESIONAL COMPLETA,EDUCACION PROFESIONAL COMPLETA,ESTRATO 6,3 A 4,Si,Si,Si,Si,B+,83.0,67.0,67,63,60,328,1
20181,TI,SB11201810027680,URBANO,Si,B,ACADEMICO,311001019941,311001019941,11,11001,19448,BOGOTA,MIXTO,COMPLETA,BOGOTA D.C.,NO OFICIAL,COLEGIO NUEVA GRANADA,COL NUEVA GRANADA,Si,11.0,11001.0,11.0,11001.0,BOGOTA,BOGOTA,PUBLICAR,ESTUDIANTE,2000-02-17,M,BOGOTA D.C.,BOGOTA D.C.,COLOMBIA,COLOMBIA,No,CUATRO,EDUCACION PROFESIONAL COMPLETA,EDUCACION PROFESIONAL COMPLETA,ESTRATO 6,3 A 4,Si,Si,Si,Si,B+,83.0,67.0,67,63,60,328,1
20181,CC,SB11201810049250,RURAL,Desconocido,A,ACADEMICO,217867000061,217867000061,17,17867,189753,CALDAS,MIXTO,SABATINA,VICTORIA,OFICIAL,INSTITUCION EDUCATIVA CANAVERAL,INSTITUCION EDUCATIVA CANAVERAL - SEDE PRINCIPAL,Si,17.0,17380.0,17.0,17867.0,CALDAS,CALDAS,PUBLICAR,ESTUDIANTE,1988-04-03,F,LA DORADA,VICTORIA,COLOMBIA,COLOMBIA,No,DOS,NINGUNO,NINGUNO,ESTRATO 1,3 A 4,No,No,No,No,A-,29.0,34.0,38,32,47,185,1
20181,TI,SB11201810001096,URBANO,Desconocido,B,ACADEMICO,476001029180,476001029180,76,76001,170621,VALLE,MIXTO,COMPLETA,CALI,NO OFICIAL,COLEGIO CAMPESTRE ANGLO HISPANO,COLEGIO CAMPESTRE ANGLO HISPANO - SEDE PRINCIPAL,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2001-01-05,M,CALI,CALI,COLOMBIA,COLOMBIA,No,NAN,SECUNDARIA (BACHILLERATO) COMPLETA,EDUCACION PROFESIONAL COMPLETA,ESTRATO 3,1 A 2,Si,Si,Si,Si,B1,71.0,60.0,64,59,62,310,1
20181,TI,SB11201810001096,URBANO,Desconocido,B,ACADEMICO,476001029180,476001029180,76,76001,170621,VALLE,MIXTO,COMPLETA,CALI,NO OFICIAL,COLEGIO CAMPESTRE ANGLO HISPANO,COLEGIO CAMPESTRE ANGLO HISPANO - SEDE PRINCIPAL,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2001-01-05,M,CALI,CALI,COLOMBIA,COLOMBIA,No,NAN,SECUNDARIA (BACHILLERATO) COMPLETA,EDUCACION PROFESIONAL COMPLETA,ESTRATO 3,1 A 2,Si,Si,Si,Si,B1,71.0,60.0,64,59,62,310,1
20181,TI,SB11201810007935,URBANO,No,B,ACADEMICO,311001010820,311001010820,11,11001,21899,BOGOTA,MIXTO,COMPLETA,BOGOTA D.C.,NO OFICIAL,COL SAN BARTOLOME LA MERCED,COL SAN BARTOLOME LA MERCED,Si,11.0,11001.0,11.0,11001.0,BOGOTA,BOGOTA,PUBLICAR,ESTUDIANTE,2000-02-12,F,BOGOTA D.C.,BOGOTA D.C.,COLOMBIA,COLOMBIA,No,TRES,POSTGRADO,SECUNDARIA (BACHILLERATO) INCOMPLETA,ESTRATO 3,3 A 4,Si,Si,Si,Si,B+,80.0,72.0,68,70,72,356,1
20181,TI,SB11201810007935,URBANO,No,B,ACADEMICO,311001010820,311001010820,11,11001,21899,BOGOTA,MIXTO,COMPLETA,BOGOTA D.C.,NO OFICIAL,COL SAN BARTOLOME LA MERCED,COL SAN BARTOLOME LA MERCED,Si,11.0,11001.0,11.0,11001.0,BOGOTA,BOGOTA,PUBLICAR,ESTUDIANTE,2000-02-12,F,BOGOTA D.C.,BOGOTA D.C.,COLOMBIA,COLOMBIA,No,TRES,POSTGRADO,SECUNDARIA (BACHILLERATO) INCOMPLETA,ESTRATO 3,3 A 4,Si,Si,Si,Si,B+,80.0,72.0,68,70,72,356,1
20181,TI,SB11201810025460,URBANO,No,A,ACADEMICO,317001007207,317001007207,17,17001,177667,CALDAS,MIXTO,SABATINA,MANIZALES,NO OFICIAL,COLEGIO BOSTON,COLEGIO BOSTON - SEDE PRINCIPAL,Si,17.0,17001.0,17.0,17001.0,CALDAS,CALDAS,PUBLICAR,ESTUDIANTE,2000-06-30,F,MANIZALES,MANIZALES,COLOMBIA,COLOMBIA,No,DOS,SECUNDARIA (BACHILLERATO) COMPLETA,PRIMARIA INCOMPLETA,ESTRATO 2,7 A 8,No,Si,No,Si,A-,35.0,52.0,47,47,52,242,1
20181,TI,SB11201810017288,URBANO,No,B,ACADEMICO,376001003461,376001003461,76,76001,17293,VALLE,MIXTO,MANANA,CALI,NO OFICIAL,COLEGIO SAN ANTONIO MARIA CLARET,COLEGIO SAN ANTONIO MARIA CLARET,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2001-02-03,M,CALI,CALI,COLOMBIA,COLOMBIA,No,TRES,EDUCACION PROFESIONAL COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA,ESTRATO 3,3 A 4,Si,Si,Si,Si,A2,66.0,72.0,67,70,60,336,1
20181,TI,SB11201810017288,URBANO,No,B,ACADEMICO,376001003461,376001003461,76,76001,17293,VALLE,MIXTO,MANANA,CALI,NO OFICIAL,COLEGIO SAN ANTONIO MARIA CLARET,COLEGIO SAN ANTONIO MARIA CLARET,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2001-02-03,M,CALI,CALI,COLOMBIA,COLOMBIA,No,TRES,EDUCACION PROFESIONAL COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA,ESTRATO 3,3 A 4,Si,Si,Si,Si,A2,66.0,72.0,67,70,60,336,1
20181,TI,SB11201810031655,URBANO,No,A,ACADEMICO,325286000980,325286000980,25,25286,101220,CUNDINAMARCA,MIXTO,NOCHE,FUNZA,NO OFICIAL,COL CENT DE LA INST SISTEMATIZADA C.E.I.S.,COL CENT DE LA INST SISTEMATIZADA C.E.I.S.,Si,25.0,25269.0,25.0,25286.0,CUNDINAMARCA,CUNDINAMARCA,PUBLICAR,ESTUDIANTE,2001-03-13,M,FACATATIVA,FUNZA,COLOMBIA,COLOMBIA,No,TRES,SECUNDARIA (BACHILLERATO) COMPLETA,SECUNDARIA (BACHILLERATO) COMPLETA,ESTRATO 2,3 A 4,No,Si,Si,Si,A1,53.0,46.0,56,53,55,263,1
20181,CC,SB11201810061783,URBANO,Desconocido,OTRO,NAN,311001110611,311001110611,11,11001,662742,BOGOTA,MIXTO,MANANA,BOGOTA D.C.,NO OFICIAL,COLEGIO MONTEHELENA,COLEGIO MONTEHELENA - SEDE PRINCIPAL,Si,11.0,11001.0,11.0,11001.0,BOGOTA,BOGOTA,PUBLICAR,ESTUDIANTE,1999-07-04,M,BOGOTA D.C.,BOGOTA D.C.,COLOMBIA,COLOMBIA,No,TRES,EDUCACION PROFESIONAL COMPLETA,EDUCACION PROFESIONAL COMPLETA,ESTRATO 4,3 A 4,Si,Si,Si,Si,A1,51.0,62.0,52,60,50,278,1
20181,TI,SB11201810017386,URBANO,No,B,TECNICO,376001021885,376001021885,76,76001,62356,VALLE,MIXTO,MANANA,CALI,NO OFICIAL,COLEGIO LUIS CARLOS GALAN SARMIENTO,COLEGIO LUIS CARLOS GALAN SARMIENTO,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2001-09-14,F,CALI,CALI,COLOMBIA,COLOMBIA,No,TRES,SECUNDARIA (BACHILLERATO) COMPLETA,EDUCACION PROFESIONAL COMPLETA,ESTRATO 3,3 A 4,No,Si,Si,Si,B1,72.0,70.0,55,70,65,328,1
20181,TI,SB11201810017386,URBANO,No,B,TECNICO,376001021885,376001021885,76,76001,62356,VALLE,MIXTO,MANANA,CALI,NO OFICIAL,COLEGIO LUIS CARLOS GALAN SARMIENTO,COLEGIO LUIS CARLOS GALAN SARMIENTO,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2001-09-14,F,CALI,CALI,COLOMBIA,COLOMBIA,No,TRES,SECUNDARIA (BACHILLERATO) COMPLETA,EDUCACION PROFESIONAL COMPLETA,ESTRATO 3,3 A 4,No,Si,Si,Si,B1,72.0,70.0,55,70,65,328,1
20181,CC,SB11201810023758,URBANO,No,A,ACADEMICO,311001105944,311001105944,11,11001,106625,BOGOTA,MIXTO,NOCHE,BOGOTA D.C.,NO OFICIAL,BACHILLERATO DE ADULTOS UNAD,BTO DE ADULTOS UNAD,Si,11.0,11001.0,11.0,11001.0,BOGOTA,BOGOTA,PUBLICAR,ESTUDIANTE,1990-07-21,M,BOGOTA D.C.,BOGOTA D.C.,COLOMBIA,COLOMBIA,No,DOS,SECUNDARIA (BACHILLERATO) COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA,ESTRATO 3,5 A 6,No,Si,Si,Si,A1,51.0,61.0,65,64,65,314,1
20181,TI,SB11201810019586,URBANO,No,B,ACADEMICO,319001000434,319001000434,19,19001,7013,CAUCA,MIXTO,MANANA,POPAYAN,NO OFICIAL,COL CHAMPAGNAT,COL CHAMPAGNAT,Si,19.0,19001.0,19.0,19001.0,CAUCA,CAUCA,PRESENTE CON LECTURA TARDIA,ESTUDIANTE,2001-09-06,M,POPAYAN,POPAYAN,COLOMBIA,COLOMBIA,No,DOS,EDUCACION PROFESIONAL COMPLETA,NO SABE,ESTRATO 4,1 A 2,Si,Si,Si,Si,A-,34.0,36.0,29,33,38,170,1
20181,TI,SB11201810019586,URBANO,No,B,ACADEMICO,319001000434,319001000434,19,19001,7013,CAUCA,MIXTO,MANANA,POPAYAN,NO OFICIAL,COL CHAMPAGNAT,COL CHAMPAGNAT,Si,19.0,19001.0,19.0,19001.0,CAUCA,CAUCA,PRESENTE CON LECTURA TARDIA,ESTUDIANTE,2001-09-06,M,POPAYAN,POPAYAN,COLOMBIA,COLOMBIA,No,DOS,EDUCACION PROFESIONAL COMPLETA,NO SABE,ESTRATO 4,1 A 2,Si,Si,Si,Si,A-,34.0,36.0,29,33,38,170,1
20181,CC,SB11201810037233,URBANO,No,A,ACADEMICO,352001006111,352001006111,52,52001,69112,NARINO,MIXTO,TARDE,PASTO,NO OFICIAL,BTO MODERNO DE ADULTOS EXTERNADO DEL SUR,BTO MODERNO DE ADULTOS EXTERNADO DEL SUR,Si,52.0,52001.0,52.0,52001.0,NARINO,NARINO,PUBLICAR,ESTUDIANTE,1997-03-08,M,PASTO,PASTO,COLOMBIA,COLOMBIA,No,CINCO,PRIMARIA INCOMPLETA,PRIMARIA INCOMPLETA,ESTRATO 2,5 A 6,No,Si,Si,Si,A1,51.0,59.0,62,48,58,282,1
20181,TI,SB11201810002538,URBANO,No,B,TECNICO,376001013831,376001013831,76,76001,119693,VALLE,MIXTO,COMPLETA,CALI,NO OFICIAL,INSTITUTO TECNICO SALOMIA,INSTITUTO TECNICO SALOMIA,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2000-08-09,M,CALI,CALI,COLOMBIA,COLOMBIA,No,TRES,SECUNDARIA (BACHILLERATO) INCOMPLETA,PRIMARIA INCOMPLETA,ESTRATO 3,3 A 4,Si,Si,Si,Si,A2,59.0,57.0,43,58,61,275,1
20181,TI,SB11201810002538,URBANO,No,B,TECNICO,376001013831,376001013831,76,76001,119693,VALLE,MIXTO,COMPLETA,CALI,NO OFICIAL,INSTITUTO TECNICO SALOMIA,INSTITUTO TECNICO SALOMIA,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2000-08-09,M,CALI,CALI,COLOMBIA,COLOMBIA,No,TRES,SECUNDARIA (BACHILLERATO) INCOMPLETA,PRIMARIA INCOMPLETA,ESTRATO 3,3 A 4,Si,Si,Si,Si,A2,59.0,57.0,43,58,61,275,1
20181,CC,SB11201810053083,URBANO,No,B,TECNICO/ACADEMICO,376001027115,376001027115,76,76001,156638,VALLE,MIXTO,COMPLETA,CALI,NO OFICIAL,COLEGIO VALORES ILAMA,COLEGIO VALORES ILAMA,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,1999-04-16,M,CALI,CALI,COLOMBIA,COLOMBIA,No,CUATRO,NINGUNO,NINGUNO,ESTRATO 1,3 A 4,Si,Si,Si,Si,A2,58.0,48.0,53,57,55,268,1
20181,CC,SB11201810053083,URBANO,No,B,TECNICO/ACADEMICO,376001027115,376001027115,76,76001,156638,VALLE,MIXTO,COMPLETA,CALI,NO OFICIAL,COLEGIO VALORES ILAMA,COLEGIO VALORES ILAMA,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,1999-04-16,M,CALI,CALI,COLOMBIA,COLOMBIA,No,CUATRO,NINGUNO,NINGUNO,ESTRATO 1,3 A 4,Si,Si,Si,Si,A2,58.0,48.0,53,57,55,268,1
20181,TI,SB11201810018894,RURAL,Si,B,ACADEMICO,366001006686,366001006686,66,66001,155036,RISARALDA,MIXTO,COMPLETA,PEREIRA,NO OFICIAL,LIC TALLER SAN MIGUEL,LIC TALLER SAN MIGUEL,Si,66.0,66001.0,66.0,66001.0,RISARALDA,RISARALDA,PUBLICAR,ESTUDIANTE,2001-11-03,M,PEREIRA,PEREIRA,COLOMBIA,COLOMBIA,No,TRES,EDUCACION PROFESIONAL COMPLETA,EDUCACION PROFESIONAL COMPLETA,ESTRATO 6,5 A 6,Si,Si,Si,Si,B1,77.0,70.0,72,77,71,364,1
20181,TI,SB11201810018894,RURAL,Si,B,ACADEMICO,366001006686,366001006686,66,66001,155036,RISARALDA,MIXTO,COMPLETA,PEREIRA,NO OFICIAL,LIC TALLER SAN MIGUEL,LIC TALLER SAN MIGUEL,Si,66.0,66001.0,66.0,66001.0,RISARALDA,RISARALDA,PUBLICAR,ESTUDIANTE,2001-11-03,M,PEREIRA,PEREIRA,COLOMBIA,COLOMBIA,No,TRES,EDUCACION PROFESIONAL COMPLETA,EDUCACION PROFESIONAL COMPLETA,ESTRATO 6,5 A 6,Si,Si,Si,Si,B1,77.0,70.0,72,77,71,364,1
20181,TI,SB11201810029506,URBANO,No,A,ACADEMICO,305088002488,305088002488,5,5088,149765,ANTIOQUIA,MIXTO,SABATINA,BELLO,NO OFICIAL,INST PREUNIVERSITARIO DE BELLOANTONIO DE J RIOS,INST PREUNIVERSITARIO DE BELLOANTONIO DE J RIOS,Si,5.0,5001.0,5.0,5088.0,ANTIOQUIA,ANTIOQUIA,PUBLICAR,ESTUDIANTE,2001-02-20,M,MEDELLIN,BELLO,COLOMBIA,COLOMBIA,No,TRES,SECUNDARIA (BACHILLERATO) COMPLETA,TECNICA O TECNOLOGICA COMPLETA,ESTRATO 2,3 A 4,No,Si,Si,Si,A1,53.0,52.0,52,50,48,253,1
20181,TI,SB11201810016431,URBANO,No,B,ACADEMICO,376001001566,376001001566,76,76001,17129,VALLE,MIXTO,COMPLETA,CALI,NO OFICIAL,COLEGIO MAYOR ALFEREZ REAL,COLEGIO MAYOR ALFEREZ REAL,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2001-07-30,M,CALI,CALI,COLOMBIA,COLOMBIA,No,CUATRO,EDUCACION PROFESIONAL COMPLETA,EDUCACION PROFESIONAL COMPLETA,ESTRATO 6,5 A 6,Si,Si,Si,Si,A2,62.0,47.0,54,53,57,267,1
20181,TI,SB11201810016431,URBANO,No,B,ACADEMICO,376001001566,376001001566,76,76001,17129,VALLE,MIXTO,COMPLETA,CALI,NO OFICIAL,COLEGIO MAYOR ALFEREZ REAL,COLEGIO MAYOR ALFEREZ REAL,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2001-07-30,M,CALI,CALI,COLOMBIA,COLOMBIA,No,CUATRO,EDUCACION PROFESIONAL COMPLETA,EDUCACION PROFESIONAL COMPLETA,ESTRATO 6,5 A 6,Si,Si,Si,Si,A2,62.0,47.0,54,53,57,267,1
20181,TI,SB11201810014902,URBANO,No,B,ACADEMICO,376001026925,376001026925,76,76001,36681,VALLE,MIXTO,MANANA,CALI,NO OFICIAL,COMFANDI MIRAFLORES,COMFANDI MIRAFLORES,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2001-01-30,F,CALI,CALI,COLOMBIA,COLOMBIA,No,UNO,SECUNDARIA (BACHILLERATO) COMPLETA,TECNICA O TECNOLOGICA COMPLETA,ESTRATO 2,3 A 4,No,Si,Si,Si,A-,46.0,50.0,50,52,58,260,1
20181,TI,SB11201810014902,URBANO,No,B,ACADEMICO,376001026925,376001026925,76,76001,36681,VALLE,MIXTO,MANANA,CALI,NO OFICIAL,COMFANDI MIRAFLORES,COMFANDI MIRAFLORES,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,2001-01-30,F,CALI,CALI,COLOMBIA,COLOMBIA,No,UNO,SECUNDARIA (BACHILLERATO) COMPLETA,TECNICA O TECNOLOGICA COMPLETA,ESTRATO 2,3 A 4,No,Si,Si,Si,A-,46.0,50.0,50,52,58,260,1
20181,CC,SB11201810018617,URBANO,No,B,ACADEMICO,376001028120,376001028120,76,76001,70813,VALLE,MIXTO,COMPLETA,CALI,NO OFICIAL,INSTITUTO SAN JUAN EUDES,INSTITUTO SAN JUAN EUDES,Si,76.0,76001.0,76.0,76001.0,VALLE,VALLE,PUBLICAR,ESTUDIANTE,1999-09-21,M,CALI,CALI,COLOMBIA,COLOMBIA,No,CUATRO,SECUNDARIA (BACHILLERATO) INCOMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA,ESTRATO 3,5 A 6,Si,Si,Si,Si,A1,54.0,49.0,47,41,49,235,1
